question,answer
"How long does ocean freight take to the US West Coast (e.g., LA) vs. East Coast (e.g., NY)?","To the West Coast (LA/LB), it's approx. 18-25 days. To the East Coast (NY/NJ), approx. 30-40 days, excluding customs clearance time."
Do you offer air freight options?,"Yes, for small volumes or urgent orders, we can arrange air freight, though the cost is significantly higher."
What is your standard export packaging?,"We use heavy-duty multi-layer cartons with custom foam inserts. For heavy pumps, we use fumigation-free plywood cases."
Can you customize the shipping cartons with our branding?,"Yes, as part of our OEM service, we can customize cartons with your company logo and part numbers for bulk orders."
What is the HS Code (Harmonized System Code) for your gear pumps?,The HS code for gear oil pumps is typically under the 8413.60.xx category. We will provide the exact code for your specific order.
Do you have a warehouse in the USA?,We do not currently have a US warehouse. All goods are shipped directly from our China factory to ensure maximum cost savings for our distributors.
"Does your price include US import tariffs (e.g., Section 301 tariffs)?",Our standard quotations (FOB/CIF) do NOT include US import duties and taxes. These are the responsibility of the importer (you).
Who handles the import customs clearance in the USA?,"Under FOB/CIF terms, you (the importer) are responsible for handling clearance and paying duties using your Customs Broker."
Can you provide a Certificate of Origin (C/O)?,"Yes, we provide a standard Certificate of Origin issued in China."
Can you declare a lower value on the commercial invoice to reduce tariffs?,"We are sorry, but we must declare the accurate value of the goods to comply with both Chinese and US law. Undervaluation can lead to customs penalties and seizure of goods."
What is the warranty period for your gear pumps?,"We offer a 12-month warranty from the B/L date (or 6 months after installation, whichever comes first) for all our products."
What is the warranty claim process if a quality issue occurs?,"Please contact your sales representative immediately with clear photos, videos, and a description of the failure. We will analyze the issue and propose a solution (repair, replacement, or credit) within 48 hours."
How do you provide technical support? Is the time difference an issue?,"We provide 24/7 technical support via Email, WeChat, WhatsApp, and video conferencing. Our team is flexible to accommodate US time zones."
"Do you supply spare parts (e.g., seal kits, gear sets)?","Yes, we offer a full range of spare parts for all models, which can be ordered with the pumps or shipped separately via express."
What is your return policy (RMA) if we order the wrong model?,"For standard models with intact packaging, returns may be accepted, but the client bears round-trip freight and a 20% restocking fee. Custom products are non-returnable."
Do you have any authorized service centers in the USA?,We do not currently have authorized US service centers. All warranty and technical support are handled remotely or managed by our engineering team in China.
Do you provide user manuals and installation guides in English?,"Yes, all exported products are accompanied by detailed user manuals and installation instructions in English."
What are your office hours (China Standard Time)?,"Our standard office hours are Monday-Friday, 8:30 AM to 5:30 PM (GMT+8). However, our sales team monitors emails for urgent matters outside these hours."
What is the best way to contact technical support or sales?,"For new inquiries, email sales@yourcompany.com. For after-sales support, please contact your dedicated account manager or support@yourcompany.com."
How can I get your latest product catalog?,You can download the PDF catalog from our website or contact our sales team to request a high-definition version.
Can you provide any customer references in the USA?,"Due to client confidentiality, we cannot disclose specific names. However, we can share anonymized case studies of our applications in your industry (e.g., equipment manufacturing)."
